Point ID,Activation,Points_0,Points_1,Points_2
3245,21,67.477,117.62,258.53
3246,21,67.785,117.65,258.56
3247,18,60.965,111.74,263.88
3248,18,60.909,111.93,263.63
3249,19,63.354,112.93,263.88
3250,19,63.73,113.06,263.91
3251,19,63.31,112.6,264.31
3252,19,63.489,112.81,264.13
3253,19,63.316,112.29,264.74
3254,19,63.165,112.4,264.5
3255,19,63.466,112.48,264.57
3256,19,65.796,112.46,265.77
3257,19,66.156,112.52,265.82
3258,19,65.745,112.29,266.01
3259,19,66.102,112.34,266.07
3260,13,72.938,111.5,263.83
3261,13,73.308,111.52,263.91
3262,13,73.099,111.66,263.66
3263,13,73.358,111.7,263.7
3264,20,69.339,115.86,261.94
3265,20,69.719,115.91,261.96
3266,20,69.567,116.02,261.72
3267,19,67.746,112.54,266.24
3268,19,67.744,112.7,266.01
3269,19,68.132,112.57,266.27
3270,19,68.148,112.73,266.04
3271,20,70.943,112.45,266.55
3272,20,70.546,112.27,266.79
3273,20,70.942,112.09,267.01
3274,20,70.943,112.27,266.79
3275,12,76.213,112.2,260.71
3276,12,76.597,112.13,260.67
3277,12,76.614,112.29,260.43
3278,12,76.35,112.34,260.46
3279,11,78.763,114.25,259.23
3280,11,78.149,114.31,259.59
3281,11,78.199,114.47,259.34
3282,11,78.516,114.19,259.5
3283,12,84.165,116.29,255.96
3284,18,85.761,116.59,255.08
3285,18,86.161,116.6,255.08
3286,18,85.757,116.48,255.41
3287,18,86.156,116.48,255.4
3288,12,83.769,116.18,256.27
3289,12,84.165,116.18,256.27
3290,12,84.559,116.19,256.27
3291,9,81.559,112.35,260.52
3292,9,81.579,112.63,260.53
3293,9,82.019,112.62,260.19
3294,9,81.8,112.63,260.37
3295,13,84.261,111,259.16
3296,12,84.301,111.43,259.19
3297,13,84.263,110.98,259.57
3298,11,84.342,111.31,259.6
3299,12,84.377,111.63,259.4
3300,12,84.38,111.87,259.36
3301,12,76.618,112.27,262.28
3302,11,76.169,113.57,261.11
3303,11,76.588,113.61,261.24
3304,11,76.367,113.71,260.93
3305,11,76.177,113.46,261.48
3306,13,75.017,111.04,263.1
3307,13,75.089,111.42,263.25
3308,13,74.868,111.06,263.42
3309,13,74.877,111.42,263.47
3310,13,73.692,111.72,263.73
3311,12,76.972,111.99,262.08
3312,12,76.99,112.28,262.21
3313,12,76.961,112.61,262.17
3314,20,74.576,111.41,267.11
3315,20,74.725,111.58,266.88
3316,20,74.409,111.63,266.93
3317,17,85.33,110.92,262.99
3318,17,85.718,110.91,262.99
3319,16,63.946,102.52,273.55
3320,16,64.018,103.55,272.8
3321,16,64.345,103.57,272.91
3322,16,63.66,102.69,273.58
3323,16,64.06,103.87,272.72
3324,16,64.374,103.89,272.88
